# longitude,latitude
-70.659000,41.517000
-70.658874,41.516875
-70.658748,41.516750
-70.658622,41.516625
-70.658497,41.516499
-70.658373,41.516374
-70.658301,41.516232
-70.658227,41.516089
-70.658153,41.515945
-70.658080,41.515801
-70.658008,41.515657
-70.657937,41.515512
-70.657866,41.515367
-70.657933,41.515252
-70.658001,41.515136
-70.658070,41.515020
-70.658140,41.514904
-70.658208,41.514786
-70.658277,41.514668
-70.658347,41.514549
-70.658418,41.514430
-70.658489,41.514311
-70.658560,41.514191
-70.658745,41.514037
-70.658931,41.513883
-70.659117,41.513728
-70.659241,41.513623
-70.659364,41.513516
-70.659487,41.513409
-70.659660,41.513276
-70.659834,41.513142
-70.660009,41.513008
-70.660184,41.512873
-70.660360,41.512738
-70.660536,41.512603
-70.660713,41.512468
-70.660892,41.512331
-70.661060,41.512202
-70.661228,41.512074
-70.661398,41.511945
-70.661567,41.511816
-70.661738,41.511687
-70.661909,41.511557
-70.662081,41.511427
-70.662253,41.511297
-70.662426,41.511166
-70.662602,41.511034
-70.662774,41.510908
-70.662946,41.510782
-70.663119,41.510655
-70.663293,41.510529
-70.663468,41.510402
-70.663643,41.510275
-70.663816,41.510119
-70.663989,41.509963
-70.664164,41.509808
-70.664341,41.509650
-70.664518,41.509493
-70.664696,41.509336
-70.664874,41.509178
-70.665053,41.509021
-70.665232,41.508863
-70.665408,41.508686
-70.665585,41.508510
-70.665762,41.508333
-70.665940,41.508157
-70.666120,41.507979
-70.666300,41.507801
-70.666481,41.507624
-70.666661,41.507446
-70.666842,41.507268
-70.667022,41.507090
-70.667198,41.506893
-70.667374,41.506696
-70.667550,41.506499
-70.667726,41.506301
-70.667905,41.506103
-70.668083,41.505905
-70.668262,41.505707
-70.668430,41.505508
-70.668597,41.505309
-70.668765,41.505109
-70.668932,41.504910
-70.669099,41.504711
-70.669265,41.504513
-70.669432,41.504314
-70.669600,41.504114
-70.669769,41.503915
-70.669937,41.503716
-70.670104,41.503517
