# longitude,latitude
-70.659000,41.517000
-70.658857,41.516862
-70.658714,41.516725
-70.658570,41.516588
-70.658426,41.516450
-70.658281,41.516313
-70.658117,41.516169
-70.657950,41.516024
-70.657782,41.515880
-70.657614,41.515735
-70.657447,41.515591
-70.657279,41.515446
-70.657111,41.515302
-70.656926,41.515154
-70.656741,41.515007
-70.656556,41.514860
-70.656356,41.514708
-70.656150,41.514556
-70.655945,41.514404
-70.655740,41.514251
-70.655535,41.514099
-70.655330,41.513946
-70.655170,41.513793
-70.655011,41.513639
-70.654852,41.513485
-70.654693,41.513331
-70.654534,41.513177
-70.654368,41.513025
-70.654202,41.512872
-70.654047,41.512728
-70.653892,41.512584
-70.653737,41.512440
-70.653582,41.512296
-70.653428,41.512152
-70.653273,41.512008
-70.653119,41.511864
-70.652956,41.511722
-70.652815,41.511588
-70.652674,41.511454
-70.652532,41.511320
-70.652391,41.511186
-70.652250,41.511052
-70.652109,41.510918
-70.651968,41.510785
-70.651827,41.510651
-70.651686,41.510517
-70.651538,41.510385
-70.651390,41.510254
-70.651242,41.510123
-70.651127,41.509983
-70.651012,41.509843
-70.650898,41.509703
-70.650783,41.509562
-70.650668,41.509422
-70.650554,41.509281
-70.650440,41.509141
-70.650320,41.509003
-70.650200,41.508865
-70.650080,41.508727
-70.649960,41.508589
-70.649841,41.508450
-70.649722,41.508312
-70.649603,41.508174
-70.649484,41.508035
-70.649377,41.507895
-70.649270,41.507754
-70.649157,41.507616
-70.649044,41.507477
-70.648931,41.507339
-70.648819,41.507200
-70.648707,41.507062
-70.648595,41.506923
-70.648483,41.506784
-70.648372,41.506645
-70.648260,41.506506
-70.648149,41.506367
-70.648032,41.506230
-70.647916,41.506093
-70.647799,41.505956
-70.647683,41.505819
-70.647567,41.505682
-70.647451,41.505545
-70.647335,41.505407
-70.647219,41.505270
-70.647108,41.505137
-70.646997,41.505004
-70.646880,41.504873
-70.646763,41.504742
-70.646646,41.504611
-70.646530,41.504480
-70.646413,41.504348
-70.646297,41.504217
-70.646181,41.504086
-70.646065,41.503954
-70.645949,41.503823
-70.645834,41.503691
-70.645712,41.503562
-70.645590,41.503432
-70.645469,41.503302
-70.645348,41.503173
-70.645227,41.503043
-70.645105,41.502913
-70.644984,41.502783
-70.644863,41.502653
-70.644743,41.502523
-70.644622,41.502394
-70.644501,41.502264
-70.644375,41.502135
-70.644257,41.502008
-70.644140,41.501880
-70.644023,41.501753
-70.643906,41.501625
-70.643788,41.501497
-70.643671,41.501369
-70.643554,41.501242
-70.643438,41.501114
-70.643321,41.500986
-70.643197,41.500860
-70.643074,41.500734
-70.642951,41.500608
-70.642827,41.500482
-70.642704,41.500356
-70.642581,41.500230
-70.642457,41.500103
-70.642334,41.499977
-70.642221,41.499850
-70.642107,41.499723
-70.641986,41.499597
-70.641866,41.499471
-70.641745,41.499346
-70.641625,41.499220
-70.641504,41.499094
-70.641384,41.498968
-70.641263,41.498843
-70.641143,41.498717
-70.641022,41.498591
-70.640902,41.498466
-70.640775,41.498342
-70.640647,41.498218
-70.640520,41.498094
-70.640392,41.497970
-70.640265,41.497846
-70.640138,41.497723
-70.640010,41.497599
-70.639883,41.497475
-70.639755,41.497351
-70.639627,41.497227
-70.639493,41.497105
-70.639360,41.496985
-70.639227,41.496866
-70.639093,41.496746
-70.638960,41.496626
-70.638827,41.496506
-70.638693,41.496387
-70.638560,41.496267
-70.638427,41.496147
-70.638293,41.496028
-70.638153,41.495910
-70.638012,41.495792
-70.637871,41.495674
-70.637730,41.495557
-70.637589,41.495439
-70.637448,41.495321
-70.637307,41.495204
-70.637165,41.495086
-70.637023,41.494969
-70.636882,41.494851
-70.636732,41.494736
-70.636583,41.494620
-70.636433,41.494505
-70.636284,41.494389
-70.636133,41.494274
-70.635983,41.494159
-70.635833,41.494044
-70.635682,41.493929
-70.635531,41.493814
-70.635380,41.493699
-70.635215,41.493587
-70.635050,41.493474
-70.634884,41.493361
-70.634719,41.493249
-70.634554,41.493136
-70.634389,41.493023
-70.634223,41.492911
-70.634058,41.492798
-70.633894,41.492685
-70.633722,41.492574
-70.633550,41.492463
-70.633378,41.492351
-70.633207,41.492239
-70.633036,41.492128
-70.632866,41.492016
-70.632695,41.491904
-70.632525,41.491792
-70.632356,41.491680
-70.632187,41.491567
-70.632011,41.491456
-70.631835,41.491345
-70.631659,41.491234
-70.631483,41.491123
-70.631308,41.491012
-70.631133,41.490901
-70.630958,41.490789
-70.630784,41.490678
-70.630609,41.490566
-70.630435,41.490455
-70.630234,41.490359
-70.630033,41.490264
-70.629833,41.490169
-70.629632,41.490073
-70.629431,41.489978
-70.629230,41.489882
-70.629029,41.489787
-70.628827,41.489692
-70.628626,41.489596
-70.628424,41.489501
-70.628215,41.489408
-70.628005,41.489315
-70.627795,41.489223
-70.627585,41.489130
-70.627375,41.489037
-70.627164,41.488945
-70.626953,41.488852
-70.626742,41.488760
-70.626531,41.488667
-70.626320,41.488575
-70.626101,41.488485
-70.625882,41.488395
-70.625662,41.488305
-70.625443,41.488215
-70.625224,41.488125
-70.625004,41.488034
-70.624790,41.487927
-70.624576,41.487819
-70.624362,41.487711
-70.624149,41.487602
-70.623928,41.487496
-70.623681,41.487415
-70.623435,41.487335
-70.623189,41.487254
-70.622944,41.487173
-70.622698,41.487093
-70.622453,41.487012
-70.622208,41.486931
-70.621964,41.486850
-70.621719,41.486769
-70.621469,41.486690
-70.621218,41.486610
-70.620968,41.486531
-70.620717,41.486452
-70.620467,41.486372
-70.620217,41.486293
-70.619968,41.486213
-70.619718,41.486133
-70.619469,41.486054
-70.619219,41.485974
-70.618970,41.485894
-70.618714,41.485816
-70.618458,41.485732
-70.618202,41.485647
-70.617946,41.485563
-70.617689,41.485478
-70.617433,41.485393
-70.617165,41.485319
-70.616896,41.485245
-70.616627,41.485171
-70.616358,41.485096
-70.616084,41.485023
-70.615810,41.484950
-70.615536,41.484877
-70.615261,41.484804
-70.614987,41.484731
-70.614712,41.484658
-70.614438,41.484585
-70.614163,41.484512
-70.613888,41.484439
-70.613613,41.484366
-70.613333,41.484294
-70.613053,41.484223
-70.612773,41.484151
