# longitude,latitude
-70.659000,41.517000
-70.658834,41.516876
-70.658669,41.516752
-70.658503,41.516628
-70.658338,41.516504
-70.658178,41.516373
-70.658019,41.516242
-70.657859,41.516112
-70.657700,41.515982
-70.657540,41.515852
-70.657380,41.515722
-70.657221,41.515592
-70.657061,41.515462
-70.656929,41.515340
-70.656796,41.515218
-70.656663,41.515097
-70.656528,41.514976
-70.656393,41.514855
-70.656353,41.514682
-70.656313,41.514510
-70.656273,41.514338
-70.656232,41.514166
-70.656192,41.513994
-70.656151,41.513822
-70.656111,41.513650
-70.656070,41.513478
-70.656132,41.513287
-70.656195,41.513096
-70.656257,41.512906
-70.656320,41.512715
-70.656383,41.512524
-70.656445,41.512333
-70.656508,41.512142
-70.656571,41.511951
-70.656646,41.511770
-70.656720,41.511588
-70.656790,41.511407
-70.656861,41.511225
-70.656931,41.511044
-70.657002,41.510862
-70.657073,41.510679
-70.657161,41.510484
-70.657248,41.510288
-70.657336,41.510091
-70.657425,41.509895
-70.657513,41.509698
-70.657598,41.509502
-70.657683,41.509306
-70.657769,41.509110
-70.657854,41.508913
-70.657940,41.508716
-70.658024,41.508525
-70.658109,41.508333
-70.658194,41.508141
-70.658278,41.507950
-70.658363,41.507758
-70.658448,41.507566
-70.658528,41.507375
-70.658613,41.507177
-70.658698,41.506979
-70.658784,41.506781
-70.658868,41.506583
-70.658953,41.506386
-70.659038,41.506188
-70.659122,41.505991
-70.659206,41.505794
-70.659289,41.505597
-70.659368,41.505401
-70.659447,41.505206
-70.659526,41.505010
-70.659604,41.504815
-70.659679,41.504623
-70.659754,41.504431
-70.659828,41.504240
-70.659902,41.504048
-70.659976,41.503857
-70.660049,41.503667
-70.660118,41.503477
-70.660186,41.503288
-70.660254,41.503099
-70.660322,41.502911
-70.660389,41.502723
-70.660457,41.502535
-70.660524,41.502347
-70.660599,41.502162
-70.660673,41.501977
-70.660748,41.501793
-70.660819,41.501609
-70.660890,41.501426
-70.660961,41.501242
-70.661032,41.501059
-70.661103,41.500875
-70.661174,41.500692
-70.661245,41.500508
-70.661317,41.500330
-70.661388,41.500152
-70.661460,41.499974
-70.661528,41.499796
-70.661597,41.499618
-70.661667,41.499440
