# longitude,latitude
-70.659000,41.517000
-70.658904,41.516841
-70.658808,41.516681
-70.658712,41.516522
-70.658616,41.516362
-70.658519,41.516203
-70.658389,41.516034
-70.658256,41.515864
-70.658122,41.515694
-70.657987,41.515524
-70.657852,41.515354
-70.657659,41.515173
-70.657465,41.514993
-70.657271,41.514812
-70.657076,41.514631
-70.656874,41.514457
-70.656672,41.514284
-70.656462,41.514109
-70.656252,41.513935
-70.656041,41.513761
-70.655830,41.513587
-70.655614,41.513424
-70.655397,41.513262
-70.655180,41.513100
-70.654962,41.512937
-70.654744,41.512775
-70.654526,41.512613
-70.654339,41.512474
-70.654151,41.512335
-70.653964,41.512196
-70.653775,41.512057
-70.653587,41.511918
-70.653398,41.511779
-70.653209,41.511640
-70.653019,41.511501
-70.652866,41.511378
-70.652713,41.511255
-70.652553,41.511136
-70.652392,41.511016
-70.652232,41.510896
-70.652071,41.510776
-70.651910,41.510656
-70.651749,41.510537
-70.651587,41.510417
-70.651426,41.510297
-70.651265,41.510178
-70.651143,41.510048
-70.651015,41.509921
-70.650888,41.509794
-70.650761,41.509667
-70.650633,41.509540
-70.650506,41.509413
-70.650378,41.509286
-70.650251,41.509159
-70.650124,41.509032
-70.649996,41.508904
-70.649869,41.508777
-70.649737,41.508653
-70.649604,41.508528
-70.649472,41.508404
-70.649340,41.508279
-70.649221,41.508148
-70.649102,41.508017
-70.648983,41.507885
-70.648864,41.507754
-70.648746,41.507623
-70.648627,41.507491
-70.648503,41.507362
-70.648379,41.507233
-70.648256,41.507104
-70.648132,41.506975
-70.648008,41.506845
-70.647885,41.506716
-70.647761,41.506587
-70.647637,41.506458
-70.647514,41.506328
-70.647390,41.506199
-70.647261,41.506072
-70.647132,41.505945
-70.647002,41.505818
-70.646873,41.505691
-70.646746,41.505566
-70.646618,41.505440
-70.646491,41.505314
-70.646364,41.505189
-70.646237,41.505063
-70.646103,41.504940
-70.645970,41.504816
-70.645837,41.504692
-70.645704,41.504568
-70.645571,41.504445
-70.645438,41.504321
-70.645305,41.504197
-70.645172,41.504074
-70.645040,41.503950
-70.644907,41.503826
-70.644769,41.503704
-70.644631,41.503582
-70.644493,41.503460
-70.644355,41.503338
-70.644217,41.503216
-70.644080,41.503094
-70.643942,41.502972
-70.643805,41.502850
-70.643673,41.502726
-70.643541,41.502603
-70.643404,41.502481
-70.643266,41.502360
-70.643128,41.502238
-70.642990,41.502117
-70.642853,41.501995
-70.642716,41.501873
-70.642578,41.501751
-70.642441,41.501630
-70.642304,41.501508
-70.642167,41.501386
-70.642023,41.501266
-70.641880,41.501146
-70.641737,41.501026
-70.641594,41.500906
-70.641451,41.500786
-70.641308,41.500666
-70.641165,41.500546
-70.641022,41.500426
-70.640879,41.500306
-70.640736,41.500186
-70.640587,41.500067
-70.640438,41.499949
-70.640289,41.499830
-70.640140,41.499712
-70.639991,41.499593
-70.639842,41.499475
-70.639700,41.499355
-70.639557,41.499235
-70.639406,41.499115
-70.639255,41.498995
-70.639097,41.498876
-70.638939,41.498758
-70.638782,41.498639
-70.638624,41.498520
-70.638466,41.498402
-70.638309,41.498283
-70.638151,41.498165
-70.637993,41.498046
-70.637836,41.497928
-70.637678,41.497809
-70.637514,41.497692
-70.637350,41.497575
-70.637186,41.497458
-70.637022,41.497340
-70.636858,41.497223
-70.636694,41.497106
-70.636530,41.496989
-70.636366,41.496872
-70.636202,41.496755
-70.636038,41.496638
-70.635874,41.496521
-70.635704,41.496405
-70.635532,41.496289
-70.635361,41.496173
-70.635189,41.496057
-70.635017,41.495941
-70.634845,41.495825
-70.634673,41.495709
-70.634502,41.495593
-70.634330,41.495477
-70.634157,41.495361
-70.633979,41.495246
-70.633800,41.495132
-70.633621,41.495017
-70.633442,41.494903
-70.633262,41.494788
-70.633083,41.494674
-70.632903,41.494559
-70.632723,41.494445
-70.632543,41.494330
-70.632363,41.494216
-70.632176,41.494103
-70.631989,41.493990
-70.631802,41.493877
-70.631614,41.493764
-70.631427,41.493651
-70.631239,41.493538
-70.631050,41.493425
-70.630850,41.493316
-70.630650,41.493206
-70.630450,41.493096
-70.630242,41.492988
-70.630034,41.492880
-70.629826,41.492772
-70.629618,41.492664
-70.629410,41.492556
-70.629202,41.492448
-70.628993,41.492340
-70.628785,41.492232
-70.628577,41.492124
-70.628368,41.492016
-70.628153,41.491909
