# longitude,latitude
-70.659000,41.517000
-70.658854,41.516876
-70.658708,41.516752
-70.658563,41.516629
-70.658417,41.516505
-70.658272,41.516381
-70.658124,41.516253
-70.657976,41.516125
-70.657827,41.515998
-70.657679,41.515870
-70.657531,41.515742
-70.657383,41.515614
-70.657234,41.515486
-70.657078,41.515360
-70.656922,41.515233
-70.656766,41.515107
-70.656610,41.514980
-70.656453,41.514854
-70.656338,41.514702
-70.656224,41.514550
-70.656109,41.514399
-70.655995,41.514247
-70.655881,41.514095
-70.655766,41.513944
-70.655652,41.513792
-70.655537,41.513641
-70.655500,41.513466
-70.655456,41.513293
-70.655412,41.513120
-70.655367,41.512947
-70.655323,41.512775
-70.655279,41.512602
-70.655234,41.512429
-70.655190,41.512256
-70.655146,41.512083
-70.655129,41.511905
-70.655113,41.511726
-70.655089,41.511550
-70.655066,41.511373
-70.655042,41.511196
-70.655019,41.511020
-70.654996,41.510843
-70.654972,41.510666
-70.654949,41.510490
-70.654926,41.510313
-70.654903,41.510136
-70.654880,41.509959
-70.654850,41.509784
-70.654821,41.509609
-70.654803,41.509426
-70.654786,41.509243
-70.654769,41.509060
-70.654752,41.508877
-70.654735,41.508694
-70.654719,41.508511
-70.654702,41.508327
-70.654686,41.508144
-70.654663,41.507963
-70.654641,41.507782
-70.654618,41.507601
-70.654609,41.507420
-70.654599,41.507239
-70.654590,41.507058
-70.654581,41.506877
-70.654572,41.506697
-70.654563,41.506516
-70.654554,41.506335
-70.654539,41.506156
-70.654524,41.505977
-70.654509,41.505798
-70.654499,41.505623
-70.654490,41.505449
-70.654480,41.505275
-70.654471,41.505100
-70.654462,41.504926
-70.654452,41.504752
-70.654443,41.504577
-70.654429,41.504405
-70.654414,41.504232
-70.654400,41.504060
-70.654385,41.503887
-70.654371,41.503715
-70.654356,41.503542
-70.654342,41.503370
-70.654328,41.503197
-70.654313,41.503024
-70.654289,41.502865
-70.654265,41.502705
-70.654240,41.502545
-70.654216,41.502385
-70.654192,41.502225
-70.654168,41.502065
-70.654143,41.501905
-70.654119,41.501745
-70.654095,41.501585
-70.654072,41.501425
-70.654043,41.501267
-70.654014,41.501108
-70.653985,41.500950
-70.653956,41.500791
-70.653928,41.500633
-70.653899,41.500474
-70.653871,41.500315
-70.653861,41.500159
-70.653851,41.500003
-70.653841,41.499847
-70.653826,41.499693
-70.653811,41.499538
-70.653796,41.499384
-70.653781,41.499229
-70.653766,41.499074
-70.653751,41.498920
-70.653737,41.498765
-70.653722,41.498610
-70.653708,41.498455
-70.653694,41.498300
-70.653674,41.498146
-70.653654,41.497993
-70.653635,41.497840
-70.653615,41.497686
-70.653596,41.497532
-70.653577,41.497379
-70.653558,41.497225
-70.653539,41.497071
-70.653521,41.496917
-70.653502,41.496763
-70.653478,41.496611
-70.653453,41.496459
-70.653429,41.496306
-70.653405,41.496154
-70.653381,41.496002
-70.653357,41.495849
-70.653348,41.495693
-70.653339,41.495537
-70.653330,41.495381
-70.653322,41.495225
-70.653307,41.495071
-70.653292,41.494917
-70.653277,41.494763
-70.653262,41.494608
-70.653247,41.494454
-70.653233,41.494300
-70.653218,41.494146
-70.653203,41.493991
-70.653189,41.493837
-70.653174,41.493683
-70.653154,41.493531
-70.653133,41.493378
-70.653112,41.493226
-70.653091,41.493074
-70.653070,41.492922
-70.653050,41.492770
-70.653029,41.492617
-70.653008,41.492465
-70.652987,41.492313
-70.652966,41.492161
-70.652945,41.492009
-70.652918,41.491859
-70.652890,41.491709
-70.652863,41.491559
-70.652835,41.491409
-70.652808,41.491259
-70.652780,41.491109
-70.652758,41.490960
-70.652735,41.490810
-70.652713,41.490660
-70.652690,41.490510
-70.652661,41.490363
-70.652631,41.490215
-70.652602,41.490068
-70.652573,41.489920
-70.652543,41.489773
-70.652514,41.489625
-70.652484,41.489478
-70.652455,41.489330
-70.652425,41.489183
-70.652395,41.489036
-70.652359,41.488891
-70.652323,41.488745
-70.652287,41.488600
-70.652250,41.488455
-70.652214,41.488310
-70.652178,41.488165
-70.652141,41.488020
-70.652105,41.487875
-70.652068,41.487730
-70.652026,41.487588
-70.651977,41.487448
-70.651928,41.487308
-70.651880,41.487168
-70.651831,41.487028
-70.651782,41.486888
-70.651733,41.486749
-70.651684,41.486609
-70.651635,41.486469
-70.651586,41.486329
-70.651537,41.486189
-70.651481,41.486052
-70.651425,41.485915
