# longitude,latitude
-70.659000,41.517000
-70.658927,41.516878
-70.658854,41.516755
-70.658782,41.516633
-70.658709,41.516510
-70.658637,41.516388
-70.658567,41.516265
-70.658497,41.516143
-70.658435,41.516013
-70.658374,41.515883
-70.658312,41.515754
-70.658251,41.515624
-70.658189,41.515494
-70.658149,41.515368
-70.658108,41.515243
-70.658068,41.515118
-70.658035,41.514994
-70.658002,41.514870
-70.657968,41.514746
-70.657935,41.514622
-70.657902,41.514498
-70.657868,41.514374
-70.657835,41.514250
-70.657824,41.514108
-70.657813,41.513967
-70.657802,41.513825
-70.657800,41.513685
-70.657798,41.513544
-70.657795,41.513403
-70.657793,41.513263
-70.657790,41.513122
-70.657788,41.512982
-70.657785,41.512841
-70.657782,41.512700
-70.657780,41.512560
-70.657769,41.512413
-70.657765,41.512265
-70.657762,41.512118
-70.657758,41.511970
-70.657755,41.511823
-70.657752,41.511675
-70.657750,41.511527
-70.657747,41.511379
-70.657745,41.511231
-70.657743,41.511083
-70.657741,41.510934
-70.657748,41.510785
-70.657754,41.510636
-70.657761,41.510487
-70.657727,41.510335
-70.657694,41.510183
-70.657661,41.510031
-70.657628,41.509879
-70.657596,41.509727
-70.657563,41.509575
-70.657531,41.509422
-70.657506,41.509268
-70.657481,41.509114
-70.657456,41.508960
-70.657432,41.508805
-70.657407,41.508651
-70.657383,41.508497
-70.657358,41.508342
-70.657334,41.508188
-70.657278,41.508041
-70.657222,41.507895
-70.657167,41.507748
-70.657117,41.507599
-70.657068,41.507451
-70.657018,41.507302
-70.656968,41.507153
-70.656919,41.507005
-70.656869,41.506856
-70.656818,41.506708
-70.656768,41.506559
-70.656718,41.506411
-70.656667,41.506263
-70.656622,41.506112
-70.656578,41.505962
-70.656533,41.505812
-70.656488,41.505662
-70.656431,41.505517
-70.656375,41.505373
-70.656318,41.505229
-70.656261,41.505085
-70.656204,41.504941
-70.656146,41.504797
-70.656094,41.504651
-70.656043,41.504505
-70.655991,41.504360
-70.655939,41.504214
-70.655886,41.504068
-70.655834,41.503922
-70.655782,41.503777
-70.655729,41.503631
-70.655677,41.503486
-70.655624,41.503340
-70.655578,41.503192
-70.655531,41.503044
-70.655485,41.502897
-70.655439,41.502749
-70.655393,41.502601
-70.655347,41.502453
-70.655301,41.502305
-70.655255,41.502157
-70.655207,41.502013
-70.655158,41.501868
-70.655116,41.501722
-70.655074,41.501575
-70.655033,41.501429
-70.654992,41.501282
-70.654951,41.501135
-70.654910,41.500988
-70.654869,41.500841
-70.654829,41.500694
-70.654789,41.500547
-70.654749,41.500400
-70.654716,41.500250
-70.654682,41.500101
-70.654649,41.499952
-70.654616,41.499802
-70.654584,41.499653
-70.654555,41.499504
-70.654526,41.499355
-70.654497,41.499206
-70.654468,41.499058
-70.654440,41.498909
-70.654417,41.498758
-70.654395,41.498607
-70.654373,41.498457
-70.654350,41.498306
-70.654328,41.498155
-70.654306,41.498004
-70.654283,41.497854
-70.654261,41.497703
-70.654238,41.497552
-70.654222,41.497400
-70.654206,41.497247
-70.654189,41.497095
-70.654173,41.496942
-70.654156,41.496790
-70.654140,41.496637
-70.654123,41.496485
-70.654106,41.496332
-70.654090,41.496180
-70.654078,41.496025
-70.654073,41.495867
-70.654068,41.495710
-70.654063,41.495552
-70.654057,41.495395
-70.654052,41.495238
-70.654047,41.495080
-70.654041,41.494923
-70.654036,41.494765
-70.654031,41.494608
-70.654025,41.494451
-70.654027,41.494291
-70.654028,41.494132
-70.654029,41.493972
-70.654030,41.493813
-70.654032,41.493653
-70.654033,41.493494
-70.654034,41.493334
-70.654036,41.493175
-70.654037,41.493015
-70.654039,41.492855
-70.654047,41.492694
-70.654055,41.492532
-70.654064,41.492370
-70.654072,41.492208
-70.654080,41.492046
-70.654089,41.491885
-70.654097,41.491723
-70.654106,41.491561
-70.654114,41.491399
-70.654123,41.491237
-70.654138,41.491073
-70.654153,41.490909
-70.654169,41.490745
-70.654184,41.490581
-70.654199,41.490417
-70.654223,41.490249
-70.654246,41.490081
-70.654269,41.489913
-70.654293,41.489745
-70.654316,41.489577
-70.654346,41.489407
-70.654376,41.489236
-70.654406,41.489066
-70.654436,41.488896
-70.654466,41.488726
-70.654496,41.488555
-70.654526,41.488385
-70.654556,41.488215
-70.654586,41.488045
-70.654616,41.487875
-70.654652,41.487702
-70.654689,41.487530
-70.654725,41.487357
-70.654762,41.487184
-70.654799,41.487012
-70.654836,41.486839
-70.654873,41.486666
-70.654910,41.486494
-70.654948,41.486321
-70.654985,41.486148
-70.655023,41.485975
-70.655068,41.485800
-70.655113,41.485624
-70.655158,41.485449
-70.655204,41.485273
-70.655257,41.485089
-70.655311,41.484904
-70.655364,41.484719
-70.655419,41.484534
-70.655474,41.484349
-70.655529,41.484164
-70.655591,41.483975
-70.655653,41.483787
-70.655716,41.483599
-70.655780,41.483410
-70.655844,41.483221
-70.655908,41.483032
-70.655973,41.482843
-70.656038,41.482654
