# longitude,latitude
-70.659000,41.517000
-70.658876,41.516861
-70.658753,41.516722
-70.658630,41.516583
-70.658508,41.516443
-70.658386,41.516303
-70.658266,41.516159
-70.658147,41.516015
-70.658028,41.515871
-70.657909,41.515727
-70.657790,41.515582
-70.657672,41.515438
-70.657554,41.515293
-70.657442,41.515154
-70.657330,41.515014
-70.657217,41.514875
-70.657179,41.514694
-70.657136,41.514515
-70.657093,41.514336
-70.657049,41.514157
-70.657006,41.513979
-70.656963,41.513800
-70.656919,41.513621
-70.656875,41.513442
-70.656831,41.513264
-70.656887,41.513061
-70.656942,41.512858
-70.656991,41.512656
-70.657049,41.512460
-70.657106,41.512263
-70.657163,41.512066
-70.657220,41.511870
-70.657277,41.511673
-70.657334,41.511476
-70.657391,41.511280
-70.657449,41.511083
-70.657499,41.510887
-70.657550,41.510691
-70.657602,41.510495
-70.657678,41.510289
-70.657756,41.510082
-70.657833,41.509875
-70.657911,41.509668
-70.657988,41.509461
-70.658067,41.509254
-70.658144,41.509050
-70.658215,41.508848
-70.658287,41.508645
-70.658359,41.508442
-70.658432,41.508239
-70.658505,41.508035
-70.658578,41.507832
-70.658652,41.507628
-70.658726,41.507424
-70.658800,41.507220
-70.658888,41.507010
-70.658970,41.506800
-70.659053,41.506591
-70.659137,41.506381
-70.659221,41.506171
-70.659305,41.505962
-70.659389,41.505751
-70.659474,41.505541
-70.659559,41.505331
-70.659645,41.505121
-70.659731,41.504910
-70.659812,41.504701
-70.659895,41.504495
-70.659979,41.504289
-70.660063,41.504083
-70.660147,41.503877
-70.660231,41.503671
-70.660316,41.503464
-70.660401,41.503258
-70.660486,41.503052
-70.660570,41.502845
-70.660651,41.502640
-70.660740,41.502438
-70.660830,41.502237
-70.660919,41.502035
-70.661009,41.501833
-70.661098,41.501632
-70.661188,41.501430
-70.661277,41.501228
-70.661367,41.501026
-70.661457,41.500825
-70.661542,41.500624
-70.661627,41.500424
-70.661712,41.500224
-70.661796,41.500030
-70.661879,41.499836
-70.661963,41.499642
-70.662047,41.499447
-70.662131,41.499253
-70.662215,41.499059
-70.662299,41.498865
-70.662379,41.498672
-70.662458,41.498479
-70.662538,41.498286
-70.662618,41.498093
-70.662698,41.497900
-70.662779,41.497707
-70.662860,41.497514
-70.662944,41.497324
-70.663028,41.497134
-70.663113,41.496944
-70.663197,41.496754
-70.663277,41.496565
-70.663358,41.496377
-70.663438,41.496188
-70.663518,41.496000
-70.663599,41.495811
-70.663680,41.495622
-70.663760,41.495433
-70.663841,41.495245
-70.663922,41.495056
-70.664002,41.494867
-70.664084,41.494677
-70.664166,41.494487
-70.664248,41.494298
-70.664329,41.494108
-70.664411,41.493918
-70.664492,41.493728
-70.664573,41.493539
-70.664653,41.493349
-70.664733,41.493160
-70.664813,41.492971
-70.664888,41.492783
-70.664962,41.492596
-70.665036,41.492409
-70.665110,41.492222
-70.665183,41.492035
-70.665255,41.491849
-70.665328,41.491662
-70.665400,41.491476
-70.665471,41.491289
-70.665542,41.491103
-70.665608,41.490919
-70.665673,41.490735
-70.665738,41.490551
-70.665808,41.490359
-70.665878,41.490168
-70.665948,41.489976
-70.666018,41.489785
-70.666087,41.489593
-70.666155,41.489402
-70.666224,41.489211
-70.666287,41.489022
-70.666349,41.488834
-70.666411,41.488645
-70.666473,41.488457
-70.666535,41.488268
-70.666597,41.488080
-70.666658,41.487892
-70.666719,41.487704
-70.666780,41.487516
-70.666840,41.487328
-70.666895,41.487142
-70.666950,41.486956
-70.667005,41.486771
-70.667060,41.486585
-70.667114,41.486400
-70.667168,41.486214
-70.667223,41.486029
-70.667277,41.485844
-70.667331,41.485658
-70.667385,41.485471
-70.667434,41.485285
-70.667483,41.485100
-70.667532,41.484915
-70.667581,41.484729
-70.667630,41.484544
-70.667679,41.484359
-70.667727,41.484174
-70.667776,41.483989
-70.667825,41.483804
-70.667873,41.483619
-70.667916,41.483436
-70.667959,41.483253
-70.668002,41.483071
