# longitude,latitude
-70.659000,41.517000
-70.658856,41.516852
-70.658713,41.516705
-70.658570,41.516557
-70.658427,41.516409
-70.658284,41.516261
-70.658174,41.516096
-70.658063,41.515931
-70.657953,41.515766
-70.657843,41.515601
-70.657733,41.515436
-70.657623,41.515270
-70.657629,41.515130
-70.657635,41.514991
-70.657641,41.514851
-70.657647,41.514711
-70.657648,41.514570
-70.657650,41.514429
-70.657652,41.514288
-70.657807,41.514103
-70.657962,41.513916
-70.658118,41.513730
-70.658274,41.513544
-70.658430,41.513358
-70.658587,41.513171
-70.658744,41.512984
-70.658898,41.512796
-70.659059,41.512635
-70.659221,41.512473
-70.659383,41.512312
-70.659546,41.512150
-70.659710,41.511988
-70.659874,41.511825
-70.660039,41.511662
-70.660224,41.511477
-70.660410,41.511291
-70.660596,41.511104
-70.660782,41.510917
-70.660970,41.510729
-70.661158,41.510542
-70.661348,41.510354
-70.661538,41.510167
-70.661729,41.509978
-70.661921,41.509790
-70.662114,41.509601
-70.662308,41.509412
-70.662502,41.509222
-70.662697,41.509032
-70.662894,41.508838
-70.663093,41.508645
-70.663292,41.508451
-70.663492,41.508257
-70.663692,41.508062
-70.663894,41.507867
-70.664096,41.507672
-70.664298,41.507477
-70.664502,41.507264
-70.664706,41.507051
-70.664911,41.506837
-70.665117,41.506623
-70.665327,41.506430
-70.665540,41.506216
-70.665753,41.506003
-70.665967,41.505789
-70.666181,41.505575
-70.666396,41.505361
-70.666611,41.505147
-70.666826,41.504932
-70.667042,41.504717
-70.667257,41.504502
-70.667474,41.504287
-70.667682,41.504071
-70.667890,41.503854
-70.668099,41.503638
-70.668307,41.503421
-70.668516,41.503205
-70.668725,41.502988
-70.668928,41.502767
-70.669132,41.502546
-70.669336,41.502325
-70.669539,41.502104
-70.669743,41.501883
-70.669947,41.501662
-70.670151,41.501441
-70.670346,41.501224
-70.670542,41.501008
-70.670737,41.500791
-70.670933,41.500574
-70.671129,41.500357
-70.671324,41.500141
-70.671520,41.499924
-70.671716,41.499707
-70.671912,41.499490
-70.672107,41.499273
-70.672303,41.499057
-70.672499,41.498840
-70.672699,41.498620
-70.672899,41.498401
-70.673100,41.498182
-70.673300,41.497962
-70.673500,41.497743
-70.673701,41.497524
-70.673901,41.497304
-70.674102,41.497085
-70.674302,41.496865
-70.674503,41.496646
-70.674697,41.496424
-70.674890,41.496201
-70.675083,41.495979
-70.675277,41.495756
-70.675471,41.495534
-70.675665,41.495311
-70.675859,41.495089
-70.676053,41.494866
-70.676248,41.494643
-70.676443,41.494420
-70.676639,41.494197
-70.676834,41.493974
-70.677029,41.493751
-70.677225,41.493528
-70.677417,41.493304
-70.677608,41.493079
-70.677801,41.492855
-70.677993,41.492630
-70.678186,41.492405
-70.678379,41.492181
-70.678572,41.491956
-70.678764,41.491731
-70.678958,41.491507
-70.679150,41.491267
-70.679342,41.491028
-70.679534,41.490788
-70.679727,41.490549
-70.679919,41.490310
-70.680111,41.490070
-70.680304,41.489831
-70.680496,41.489591
-70.680688,41.489352
-70.680880,41.489113
-70.681072,41.488874
-70.681263,41.488634
-70.681455,41.488395
-70.681647,41.488156
-70.681835,41.487911
-70.682024,41.487666
-70.682212,41.487420
-70.682400,41.487176
-70.682587,41.486931
-70.682774,41.486686
-70.682961,41.486442
-70.683148,41.486197
-70.683335,41.485953
-70.683521,41.485708
-70.683707,41.485464
-70.683903,41.485211
-70.684098,41.484959
-70.684292,41.484707
-70.684486,41.484455
-70.684680,41.484203
-70.684873,41.483952
-70.685066,41.483700
-70.685259,41.483448
-70.685452,41.483190
-70.685644,41.482933
-70.685835,41.482675
-70.686027,41.482417
-70.686217,41.482160
-70.686406,41.481903
-70.686595,41.481646
-70.686784,41.481390
-70.686972,41.481134
-70.687159,41.480877
-70.687346,41.480621
-70.687532,41.480366
-70.687717,41.480110
-70.687902,41.479855
-70.688085,41.479600
-70.688267,41.479346
-70.688448,41.479092
-70.688619,41.478825
-70.688789,41.478558
-70.688958,41.478291
-70.689126,41.478025
-70.689294,41.477758
-70.689461,41.477493
-70.689626,41.477227
-70.689790,41.476963
-70.689953,41.476698
-70.690115,41.476435
-70.690277,41.476171
-70.690439,41.475907
-70.690599,41.475644
-70.690759,41.475382
-70.690918,41.475119
-70.691076,41.474858
-70.691233,41.474596
-70.691388,41.474336
-70.691542,41.474076
